Planning Area,Subzone,Age,Sex,Count
Bukit Batok,Hong Kah North,51,Females,200
Bukit Batok,Hong Kah North,52,Total,360
Bukit Batok,Hong Kah North,52,Males,170
Bukit Batok,Hong Kah North,52,Females,190
Bukit Batok,Hong Kah North,53,Total,420
Bukit Batok,Hong Kah North,53,Males,220
Bukit Batok,Hong Kah North,53,Females,200
Bukit Batok,Hong Kah North,54,Total,420
Bukit Batok,Hong Kah North,54,Males,220
Bukit Batok,Hong Kah North,54,Females,190
Bukit Batok,Hong Kah North,55,Total,400
Bukit Batok,Hong Kah North,55,Males,200
Bukit Batok,Hong Kah North,55,Females,190
Bukit Batok,Hong Kah North,56,Total,430
Bukit Batok,Hong Kah North,56,Males,230
Bukit Batok,Hong Kah North,56,Females,190
Bukit Batok,Hong Kah North,57,Total,440
Bukit Batok,Hong Kah North,57,Males,210
Bukit Batok,Hong Kah North,57,Females,230
Bukit Batok,Hong Kah North,58,Total,450
Bukit Batok,Hong Kah North,58,Males,220
Bukit Batok,Hong Kah North,58,Females,240
Bukit Batok,Hong Kah North,59,Total,480
Bukit Batok,Hong Kah North,59,Males,230
Bukit Batok,Hong Kah North,59,Females,250
Bukit Batok,Hong Kah North,60,Total,500
Bukit Batok,Hong Kah North,60,Males,230
Bukit Batok,Hong Kah North,60,Females,270
Bukit Batok,Hong Kah North,61,Total,470
Bukit Batok,Hong Kah North,61,Males,230
Bukit Batok,Hong Kah North,61,Females,240
Bukit Batok,Hong Kah North,62,Total,510
Bukit Batok,Hong Kah North,62,Males,240
Bukit Batok,Hong Kah North,62,Females,270
Bukit Batok,Hong Kah North,63,Total,490
Bukit Batok,Hong Kah North,63,Males,240
Bukit Batok,Hong Kah North,63,Females,250
Bukit Batok,Hong Kah North,64,Total,460
Bukit Batok,Hong Kah North,64,Males,250
Bukit Batok,Hong Kah North,64,Females,220
Bukit Batok,Hong Kah North,65,Total,460
Bukit Batok,Hong Kah North,65,Males,250
Bukit Batok,Hong Kah North,65,Females,210
Bukit Batok,Hong Kah North,66,Total,470
Bukit Batok,Hong Kah North,66,Males,260
Bukit Batok,Hong Kah North,66,Females,210
Bukit Batok,Hong Kah North,67,Total,370
Bukit Batok,Hong Kah North,67,Males,200
Bukit Batok,Hong Kah North,67,Females,180
Bukit Batok,Hong Kah North,68,Total,340
Bukit Batok,Hong Kah North,68,Males,180
Bukit Batok,Hong Kah North,68,Females,160
Bukit Batok,Hong Kah North,69,Total,330
Bukit Batok,Hong Kah North,69,Males,160
Bukit Batok,Hong Kah North,69,Females,170
Bukit Batok,Hong Kah North,70,Total,270
Bukit Batok,Hong Kah North,70,Males,130
Bukit Batok,Hong Kah North,70,Females,140
Bukit Batok,Hong Kah North,71,Total,270
Bukit Batok,Hong Kah North,71,Males,140
Bukit Batok,Hong Kah North,71,Females,140
Bukit Batok,Hong Kah North,72,Total,230
Bukit Batok,Hong Kah North,72,Males,110
Bukit Batok,Hong Kah North,72,Females,120
Bukit Batok,Hong Kah North,73,Total,230
Bukit Batok,Hong Kah North,73,Males,120
Bukit Batok,Hong Kah North,73,Females,110
Bukit Batok,Hong Kah North,74,Total,200
Bukit Batok,Hong Kah North,74,Males,110
Bukit Batok,Hong Kah North,74,Females,100
Bukit Batok,Hong Kah North,75,Total,130
Bukit Batok,Hong Kah North,75,Males,70
Bukit Batok,Hong Kah North,75,Females,60
Bukit Batok,Hong Kah North,76,Total,120
Bukit Batok,Hong Kah North,76,Males,40
Bukit Batok,Hong Kah North,76,Females,70
Bukit Batok,Hong Kah North,77,Total,130
Bukit Batok,Hong Kah North,77,Males,60
Bukit Batok,Hong Kah North,77,Females,70
Bukit Batok,Hong Kah North,78,Total,100
Bukit Batok,Hong Kah North,78,Males,40
Bukit Batok,Hong Kah North,78,Females,60
Bukit Batok,Hong Kah North,79,Total,80
Bukit Batok,Hong Kah North,79,Males,40
Bukit Batok,Hong Kah North,79,Females,40
Bukit Batok,Hong Kah North,80,Total,100
Bukit Batok,Hong Kah North,80,Males,50
Bukit Batok,Hong Kah North,80,Females,50
Bukit Batok,Hong Kah North,81,Total,100
Bukit Batok,Hong Kah North,81,Males,40
Bukit Batok,Hong Kah North,81,Females,60
Bukit Batok,Hong Kah North,82,Total,80
Bukit Batok,Hong Kah North,82,Males,40
Bukit Batok,Hong Kah North,82,Females,40
Bukit Batok,Hong Kah North,83,Total,50
Bukit Batok,Hong Kah North,83,Males,30
Bukit Batok,Hong Kah North,83,Females,30
Bukit Batok,Hong Kah North,84,Total,50
Bukit Batok,Hong Kah North,84,Males,20
Bukit Batok,Hong Kah North,84,Females,30
Bukit Batok,Hong Kah North,85,Total,40
Bukit Batok,Hong Kah North,85,Males,20
Bukit Batok,Hong Kah North,85,Females,20
Bukit Batok,Hong Kah North,86,Total,50
Bukit Batok,Hong Kah North,86,Males,20
Bukit Batok,Hong Kah North,86,Females,30
Bukit Batok,Hong Kah North,87,Total,30
Bukit Batok,Hong Kah North,87,Males,10
Bukit Batok,Hong Kah North,87,Females,30
Bukit Batok,Hong Kah North,88,Total,40
Bukit Batok,Hong Kah North,88,Males,20
Bukit Batok,Hong Kah North,88,Females,20
Bukit Batok,Hong Kah North,89,Total,20
Bukit Batok,Hong Kah North,89,Males,10
Bukit Batok,Hong Kah North,89,Females,20
Bukit Batok,Hong Kah North,90 & Over,Total,80
Bukit Batok,Hong Kah North,90 & Over,Males,30
Bukit Batok,Hong Kah North,90 & Over,Females,50
Bukit Merah,Total,Total,Total,"148,080"
Bukit Merah,Total,Total,Males,"71,210"
Bukit Merah,Total,Total,Females,"76,880"
Bukit Merah,Total,0,Total,"1,030"
Bukit Merah,Total,0,Males,520
Bukit Merah,Total,0,Females,510
Bukit Merah,Total,1,Total,"1,210"
Bukit Merah,Total,1,Males,600
Bukit Merah,Total,1,Females,610
Bukit Merah,Total,2,Total,"1,170"
Bukit Merah,Total,2,Males,590
Bukit Merah,Total,2,Females,580
Bukit Merah,Total,3,Total,"1,160"
Bukit Merah,Total,3,Males,570
Bukit Merah,Total,3,Females,590
Bukit Merah,Total,4,Total,"1,230"
Bukit Merah,Total,4,Males,640
Bukit Merah,Total,4,Females,600
Bukit Merah,Total,5,Total,"1,240"
Bukit Merah,Total,5,Males,640
Bukit Merah,Total,5,Females,600
Bukit Merah,Total,6,Total,"1,240"
Bukit Merah,Total,6,Males,670
Bukit Merah,Total,6,Females,570
Bukit Merah,Total,7,Total,"1,240"
Bukit Merah,Total,7,Males,640
Bukit Merah,Total,7,Females,600
Bukit Merah,Total,8,Total,"1,290"
Bukit Merah,Total,8,Males,650
Bukit Merah,Total,8,Females,640
Bukit Merah,Total,9,Total,"1,250"
Bukit Merah,Total,9,Males,630
Bukit Merah,Total,9,Females,620
Bukit Merah,Total,10,Total,"1,210"
Bukit Merah,Total,10,Males,610
Bukit Merah,Total,10,Females,610
Bukit Merah,Total,11,Total,"1,290"
Bukit Merah,Total,11,Males,650
Bukit Merah,Total,11,Females,640
Bukit Merah,Total,12,Total,"1,350"
Bukit Merah,Total,12,Males,670
Bukit Merah,Total,12,Females,680
Bukit Merah,Total,13,Total,"1,280"
Bukit Merah,Total,13,Males,650
Bukit Merah,Total,13,Females,630
Bukit Merah,Total,14,Total,"1,300"
Bukit Merah,Total,14,Males,680
Bukit Merah,Total,14,Females,630
Bukit Merah,Total,15,Total,"1,220"
Bukit Merah,Total,15,Males,620
Bukit Merah,Total,15,Females,600
Bukit Merah,Total,16,Total,"1,120"
Bukit Merah,Total,16,Males,550
Bukit Merah,Total,16,Females,570
Bukit Merah,Total,17,Total,"1,190"
Bukit Merah,Total,17,Males,610
Bukit Merah,Total,17,Females,580
Bukit Merah,Total,18,Total,"1,150"
Bukit Merah,Total,18,Males,570
Bukit Merah,Total,18,Females,580
Bukit Merah,Total,19,Total,"1,190"
Bukit Merah,Total,19,Males,630
Bukit Merah,Total,19,Females,560
Bukit Merah,Total,20,Total,"1,340"
Bukit Merah,Total,20,Males,730
Bukit Merah,Total,20,Females,610
Bukit Merah,Total,21,Total,"1,290"
Bukit Merah,Total,21,Males,650
Bukit Merah,Total,21,Females,640
Bukit Merah,Total,22,Total,"1,230"
Bukit Merah,Total,22,Males,620
Bukit Merah,Total,22,Females,620
Bukit Merah,Total,23,Total,"1,310"
Bukit Merah,Total,23,Males,680
Bukit Merah,Total,23,Females,640
Bukit Merah,Total,24,Total,"1,380"
Bukit Merah,Total,24,Males,650
Bukit Merah,Total,24,Females,730
Bukit Merah,Total,25,Total,"1,450"
Bukit Merah,Total,25,Males,660
Bukit Merah,Total,25,Females,790
Bukit Merah,Total,26,Total,"1,620"
Bukit Merah,Total,26,Males,790
Bukit Merah,Total,26,Females,820
Bukit Merah,Total,27,Total,"1,750"
Bukit Merah,Total,27,Males,870
Bukit Merah,Total,27,Females,870
Bukit Merah,Total,28,Total,"1,800"
Bukit Merah,Total,28,Males,850
Bukit Merah,Total,28,Females,950
Bukit Merah,Total,29,Total,"1,970"
Bukit Merah,Total,29,Males,950
Bukit Merah,Total,29,Females,"1,020"
Bukit Merah,Total,30,Total,"2,020"
Bukit Merah,Total,30,Males,960
Bukit Merah,Total,30,Females,"1,070"
Bukit Merah,Total,31,Total,"2,090"
Bukit Merah,Total,31,Males,980
Bukit Merah,Total,31,Females,"1,110"
Bukit Merah,Total,32,Total,"2,280"
Bukit Merah,Total,32,Males,"1,100"
Bukit Merah,Total,32,Females,"1,180"
Bukit Merah,Total,33,Total,"2,160"
Bukit Merah,Total,33,Males,"1,000"
Bukit Merah,Total,33,Females,"1,160"
Bukit Merah,Total,34,Total,"1,890"
Bukit Merah,Total,34,Males,880
Bukit Merah,Total,34,Females,"1,010"
Bukit Merah,Total,35,Total,"1,950"
Bukit Merah,Total,35,Males,900
Bukit Merah,Total,35,Females,"1,050"
Bukit Merah,Total,36,Total,"2,090"
Bukit Merah,Total,36,Males,"1,010"
Bukit Merah,Total,36,Females,"1,080"
Bukit Merah,Total,37,Total,"1,910"
Bukit Merah,Total,37,Males,900
Bukit Merah,Total,37,Females,"1,010"
Bukit Merah,Total,38,Total,"2,120"
Bukit Merah,Total,38,Males,"1,010"
Bukit Merah,Total,38,Females,"1,110"
Bukit Merah,Total,39,Total,"2,120"
Bukit Merah,Total,39,Males,"1,000"
Bukit Merah,Total,39,Females,"1,120"
Bukit Merah,Total,40,Total,"2,190"
Bukit Merah,Total,40,Males,"1,020"
Bukit Merah,Total,40,Females,"1,170"
Bukit Merah,Total,41,Total,"2,310"
Bukit Merah,Total,41,Males,"1,080"
Bukit Merah,Total,41,Females,"1,230"
Bukit Merah,Total,42,Total,"2,190"
Bukit Merah,Total,42,Males,"1,020"
Bukit Merah,Total,42,Females,"1,170"
Bukit Merah,Total,43,Total,"2,210"
Bukit Merah,Total,43,Males,"1,070"
Bukit Merah,Total,43,Females,"1,140"
Bukit Merah,Total,44,Total,"2,370"
Bukit Merah,Total,44,Males,"1,090"
Bukit Merah,Total,44,Females,"1,270"
Bukit Merah,Total,45,Total,"2,220"
Bukit Merah,Total,45,Males,"1,110"
Bukit Merah,Total,45,Females,"1,110"
Bukit Merah,Total,46,Total,"2,220"
Bukit Merah,Total,46,Males,"1,080"
Bukit Merah,Total,46,Females,"1,150"
Bukit Merah,Total,47,Total,"2,310"
Bukit Merah,Total,47,Males,"1,130"
Bukit Merah,Total,47,Females,"1,180"
Bukit Merah,Total,48,Total,"2,440"
Bukit Merah,Total,48,Males,"1,220"
Bukit Merah,Total,48,Females,"1,220"
Bukit Merah,Total,49,Total,"2,180"
Bukit Merah,Total,49,Males,"1,090"
Bukit Merah,Total,49,Females,"1,090"
Bukit Merah,Total,50,Total,"2,220"
Bukit Merah,Total,50,Males,"1,070"
Bukit Merah,Total,50,Females,"1,160"
Bukit Merah,Total,51,Total,"2,020"
Bukit Merah,Total,51,Males,"1,000"
Bukit Merah,Total,51,Females,"1,020"
Bukit Merah,Total,52,Total,"2,050"
Bukit Merah,Total,52,Males,"1,020"
Bukit Merah,Total,52,Females,"1,030"
Bukit Merah,Total,53,Total,"2,070"
Bukit Merah,Total,53,Males,"1,050"
Bukit Merah,Total,53,Females,"1,020"
Bukit Merah,Total,54,Total,"2,000"
Bukit Merah,Total,54,Males,"1,030"
Bukit Merah,Total,54,Females,960
Bukit Merah,Total,55,Total,"2,170"
Bukit Merah,Total,55,Males,"1,100"
Bukit Merah,Total,55,Females,"1,070"
Bukit Merah,Total,56,Total,"1,990"
Bukit Merah,Total,56,Males,"1,010"
Bukit Merah,Total,56,Females,980
Bukit Merah,Total,57,Total,"2,100"
Bukit Merah,Total,57,Males,"1,040"
Bukit Merah,Total,57,Females,"1,060"
Bukit Merah,Total,58,Total,"2,070"
Bukit Merah,Total,58,Males,"1,060"
Bukit Merah,Total,58,Females,"1,020"
Bukit Merah,Total,59,Total,"2,100"
Bukit Merah,Total,59,Males,"1,090"
Bukit Merah,Total,59,Females,"1,020"
Bukit Merah,Total,60,Total,"2,060"
Bukit Merah,Total,60,Males,"1,110"
Bukit Merah,Total,60,Females,960
Bukit Merah,Total,61,Total,"2,160"
Bukit Merah,Total,61,Males,"1,150"
Bukit Merah,Total,61,Females,"1,010"
Bukit Merah,Total,62,Total,"2,150"
Bukit Merah,Total,62,Males,"1,080"
Bukit Merah,Total,62,Females,"1,060"
Bukit Merah,Total,63,Total,"2,130"
Bukit Merah,Total,63,Males,"1,060"
Bukit Merah,Total,63,Females,"1,070"
Bukit Merah,Total,64,Total,"2,170"
Bukit Merah,Total,64,Males,"1,060"
Bukit Merah,Total,64,Females,"1,110"
Bukit Merah,Total,65,Total,"2,120"
Bukit Merah,Total,65,Males,"1,080"
Bukit Merah,Total,65,Females,"1,040"
Bukit Merah,Total,66,Total,"2,060"
Bukit Merah,Total,66,Males,"1,010"
Bukit Merah,Total,66,Females,"1,050"
Bukit Merah,Total,67,Total,"2,020"
Bukit Merah,Total,67,Males,960
Bukit Merah,Total,67,Females,"1,060"
Bukit Merah,Total,68,Total,"1,970"
Bukit Merah,Total,68,Males,900
Bukit Merah,Total,68,Females,"1,070"
Bukit Merah,Total,69,Total,"1,960"
Bukit Merah,Total,69,Males,900
Bukit Merah,Total,69,Females,"1,060"
Bukit Merah,Total,70,Total,"1,920"
Bukit Merah,Total,70,Males,890
Bukit Merah,Total,70,Females,"1,030"
Bukit Merah,Total,71,Total,"1,980"
Bukit Merah,Total,71,Males,900
Bukit Merah,Total,71,Females,"1,080"
Bukit Merah,Total,72,Total,"1,940"
Bukit Merah,Total,72,Males,850
Bukit Merah,Total,72,Females,"1,090"
Bukit Merah,Total,73,Total,"1,850"
Bukit Merah,Total,73,Males,810
Bukit Merah,Total,73,Females,"1,040"
Bukit Merah,Total,74,Total,"1,840"
Bukit Merah,Total,74,Males,800
Bukit Merah,Total,74,Females,"1,030"
Bukit Merah,Total,75,Total,"1,250"
Bukit Merah,Total,75,Males,570
Bukit Merah,Total,75,Females,680
Bukit Merah,Total,76,Total,950
Bukit Merah,Total,76,Males,400
Bukit Merah,Total,76,Females,540
Bukit Merah,Total,77,Total,"1,200"
Bukit Merah,Total,77,Males,530
Bukit Merah,Total,77,Females,670
Bukit Merah,Total,78,Total,"1,010"
Bukit Merah,Total,78,Males,420
Bukit Merah,Total,78,Females,590
Bukit Merah,Total,79,Total,990
Bukit Merah,Total,79,Males,430
Bukit Merah,Total,79,Females,560
Bukit Merah,Total,80,Total,"1,220"
Bukit Merah,Total,80,Males,490
Bukit Merah,Total,80,Females,720
Bukit Merah,Total,81,Total,"1,080"
Bukit Merah,Total,81,Males,440
Bukit Merah,Total,81,Females,640
Bukit Merah,Total,82,Total,"1,060"
Bukit Merah,Total,82,Males,430
Bukit Merah,Total,82,Females,620
Bukit Merah,Total,83,Total,810
Bukit Merah,Total,83,Males,320
Bukit Merah,Total,83,Females,490
Bukit Merah,Total,84,Total,640
Bukit Merah,Total,84,Males,250
Bukit Merah,Total,84,Females,390
Bukit Merah,Total,85,Total,550
Bukit Merah,Total,85,Males,240
Bukit Merah,Total,85,Females,320
Bukit Merah,Total,86,Total,620
Bukit Merah,Total,86,Males,240
Bukit Merah,Total,86,Females,370
Bukit Merah,Total,87,Total,520
Bukit Merah,Total,87,Males,180
Bukit Merah,Total,87,Females,340
Bukit Merah,Total,88,Total,420
Bukit Merah,Total,88,Males,160
Bukit Merah,Total,88,Females,270
Bukit Merah,Total,89,Total,350
Bukit Merah,Total,89,Males,120
Bukit Merah,Total,89,Females,230
Bukit Merah,Total,90 & Over,Total,"1,570"
Bukit Merah,Total,90 & Over,Males,510
Bukit Merah,Total,90 & Over,Females,"1,060"
Bukit Merah,Alexandra Hill,Total,Total,"13,150"
Bukit Merah,Alexandra Hill,Total,Males,"6,480"
Bukit Merah,Alexandra Hill,Total,Females,"6,660"
Bukit Merah,Alexandra Hill,0,Total,80
Bukit Merah,Alexandra Hill,0,Males,40
Bukit Merah,Alexandra Hill,0,Females,40
Bukit Merah,Alexandra Hill,1,Total,100
Bukit Merah,Alexandra Hill,1,Males,50
Bukit Merah,Alexandra Hill,1,Females,50
Bukit Merah,Alexandra Hill,2,Total,90
Bukit Merah,Alexandra Hill,2,Males,40
Bukit Merah,Alexandra Hill,2,Females,40
Bukit Merah,Alexandra Hill,3,Total,70
Bukit Merah,Alexandra Hill,3,Males,30
Bukit Merah,Alexandra Hill,3,Females,40
Bukit Merah,Alexandra Hill,4,Total,80
Bukit Merah,Alexandra Hill,4,Males,40
Bukit Merah,Alexandra Hill,4,Females,30
Bukit Merah,Alexandra Hill,5,Total,80
Bukit Merah,Alexandra Hill,5,Males,40
Bukit Merah,Alexandra Hill,5,Females,40
Bukit Merah,Alexandra Hill,6,Total,80
Bukit Merah,Alexandra Hill,6,Males,50
Bukit Merah,Alexandra Hill,6,Females,30
Bukit Merah,Alexandra Hill,7,Total,70
Bukit Merah,Alexandra Hill,7,Males,40
Bukit Merah,Alexandra Hill,7,Females,30
Bukit Merah,Alexandra Hill,8,Total,90
Bukit Merah,Alexandra Hill,8,Males,40
Bukit Merah,Alexandra Hill,8,Females,50
Bukit Merah,Alexandra Hill,9,Total,80
Bukit Merah,Alexandra Hill,9,Males,40
Bukit Merah,Alexandra Hill,9,Females,40
Bukit Merah,Alexandra Hill,10,Total,90
Bukit Merah,Alexandra Hill,10,Males,40
Bukit Merah,Alexandra Hill,10,Females,40
Bukit Merah,Alexandra Hill,11,Total,90
Bukit Merah,Alexandra Hill,11,Males,50
Bukit Merah,Alexandra Hill,11,Females,40
Bukit Merah,Alexandra Hill,12,Total,90
Bukit Merah,Alexandra Hill,12,Males,50
Bukit Merah,Alexandra Hill,12,Females,40
Bukit Merah,Alexandra Hill,13,Total,120
Bukit Merah,Alexandra Hill,13,Males,70
Bukit Merah,Alexandra Hill,13,Females,50
Bukit Merah,Alexandra Hill,14,Total,120
Bukit Merah,Alexandra Hill,14,Males,70
Bukit Merah,Alexandra Hill,14,Females,40
Bukit Merah,Alexandra Hill,15,Total,130
Bukit Merah,Alexandra Hill,15,Males,60
Bukit Merah,Alexandra Hill,15,Females,70
Bukit Merah,Alexandra Hill,16,Total,120
Bukit Merah,Alexandra Hill,16,Males,60
Bukit Merah,Alexandra Hill,16,Females,60
Bukit Merah,Alexandra Hill,17,Total,100
Bukit Merah,Alexandra Hill,17,Males,50
Bukit Merah,Alexandra Hill,17,Females,50
Bukit Merah,Alexandra Hill,18,Total,130
Bukit Merah,Alexandra Hill,18,Males,70
Bukit Merah,Alexandra Hill,18,Females,60
Bukit Merah,Alexandra Hill,19,Total,130
Bukit Merah,Alexandra Hill,19,Males,80
Bukit Merah,Alexandra Hill,19,Females,60
Bukit Merah,Alexandra Hill,20,Total,150
Bukit Merah,Alexandra Hill,20,Males,90
Bukit Merah,Alexandra Hill,20,Females,60
Bukit Merah,Alexandra Hill,21,Total,160
Bukit Merah,Alexandra Hill,21,Males,90
Bukit Merah,Alexandra Hill,21,Females,70
Bukit Merah,Alexandra Hill,22,Total,150
Bukit Merah,Alexandra Hill,22,Males,80
Bukit Merah,Alexandra Hill,22,Females,70
Bukit Merah,Alexandra Hill,23,Total,150
Bukit Merah,Alexandra Hill,23,Males,80
Bukit Merah,Alexandra Hill,23,Females,70
Bukit Merah,Alexandra Hill,24,Total,170
Bukit Merah,Alexandra Hill,24,Males,80
Bukit Merah,Alexandra Hill,24,Females,90
Bukit Merah,Alexandra Hill,25,Total,170
Bukit Merah,Alexandra Hill,25,Males,80
Bukit Merah,Alexandra Hill,25,Females,90
Bukit Merah,Alexandra Hill,26,Total,170
Bukit Merah,Alexandra Hill,26,Males,90
Bukit Merah,Alexandra Hill,26,Females,80
Bukit Merah,Alexandra Hill,27,Total,170
Bukit Merah,Alexandra Hill,27,Males,90
Bukit Merah,Alexandra Hill,27,Females,80
Bukit Merah,Alexandra Hill,28,Total,180
Bukit Merah,Alexandra Hill,28,Males,80
Bukit Merah,Alexandra Hill,28,Females,100
Bukit Merah,Alexandra Hill,29,Total,200
Bukit Merah,Alexandra Hill,29,Males,100
Bukit Merah,Alexandra Hill,29,Females,100
Bukit Merah,Alexandra Hill,30,Total,170
Bukit Merah,Alexandra Hill,30,Males,90
Bukit Merah,Alexandra Hill,30,Females,80
Bukit Merah,Alexandra Hill,31,Total,180
Bukit Merah,Alexandra Hill,31,Males,90
Bukit Merah,Alexandra Hill,31,Females,100
Bukit Merah,Alexandra Hill,32,Total,170
Bukit Merah,Alexandra Hill,32,Males,100
Bukit Merah,Alexandra Hill,32,Females,80
Bukit Merah,Alexandra Hill,33,Total,180
Bukit Merah,Alexandra Hill,33,Males,90
Bukit Merah,Alexandra Hill,33,Females,90
Bukit Merah,Alexandra Hill,34,Total,150
Bukit Merah,Alexandra Hill,34,Males,70
Bukit Merah,Alexandra Hill,34,Females,70
Bukit Merah,Alexandra Hill,35,Total,120
Bukit Merah,Alexandra Hill,35,Males,60
Bukit Merah,Alexandra Hill,35,Females,60
Bukit Merah,Alexandra Hill,36,Total,130
Bukit Merah,Alexandra Hill,36,Males,70
Bukit Merah,Alexandra Hill,36,Females,70
Bukit Merah,Alexandra Hill,37,Total,140
Bukit Merah,Alexandra Hill,37,Males,70
Bukit Merah,Alexandra Hill,37,Females,70
Bukit Merah,Alexandra Hill,38,Total,150
Bukit Merah,Alexandra Hill,38,Males,80
Bukit Merah,Alexandra Hill,38,Females,70
Bukit Merah,Alexandra Hill,39,Total,130
Bukit Merah,Alexandra Hill,39,Males,60
Bukit Merah,Alexandra Hill,39,Females,70
Bukit Merah,Alexandra Hill,40,Total,140
Bukit Merah,Alexandra Hill,40,Males,80
Bukit Merah,Alexandra Hill,40,Females,60
Bukit Merah,Alexandra Hill,41,Total,150
Bukit Merah,Alexandra Hill,41,Males,70
Bukit Merah,Alexandra Hill,41,Females,80
Bukit Merah,Alexandra Hill,42,Total,130
Bukit Merah,Alexandra Hill,42,Males,60
Bukit Merah,Alexandra Hill,42,Females,80
Bukit Merah,Alexandra Hill,43,Total,130
Bukit Merah,Alexandra Hill,43,Males,70
Bukit Merah,Alexandra Hill,43,Females,60
Bukit Merah,Alexandra Hill,44,Total,150
Bukit Merah,Alexandra Hill,44,Males,70
Bukit Merah,Alexandra Hill,44,Females,80
Bukit Merah,Alexandra Hill,45,Total,150
Bukit Merah,Alexandra Hill,45,Males,60
Bukit Merah,Alexandra Hill,45,Females,90
Bukit Merah,Alexandra Hill,46,Total,160
Bukit Merah,Alexandra Hill,46,Males,80
Bukit Merah,Alexandra Hill,46,Females,80
Bukit Merah,Alexandra Hill,47,Total,190
Bukit Merah,Alexandra Hill,47,Males,90
Bukit Merah,Alexandra Hill,47,Females,100
Bukit Merah,Alexandra Hill,48,Total,180
Bukit Merah,Alexandra Hill,48,Males,90
Bukit Merah,Alexandra Hill,48,Females,90
Bukit Merah,Alexandra Hill,49,Total,170
Bukit Merah,Alexandra Hill,49,Males,90
Bukit Merah,Alexandra Hill,49,Females,80
Bukit Merah,Alexandra Hill,50,Total,190
Bukit Merah,Alexandra Hill,50,Males,90
Bukit Merah,Alexandra Hill,50,Females,100
Bukit Merah,Alexandra Hill,51,Total,140
Bukit Merah,Alexandra Hill,51,Males,70
Bukit Merah,Alexandra Hill,51,Females,70
Bukit Merah,Alexandra Hill,52,Total,200
Bukit Merah,Alexandra Hill,52,Males,90
Bukit Merah,Alexandra Hill,52,Females,110
Bukit Merah,Alexandra Hill,53,Total,160
Bukit Merah,Alexandra Hill,53,Males,90
Bukit Merah,Alexandra Hill,53,Females,70
Bukit Merah,Alexandra Hill,54,Total,210
Bukit Merah,Alexandra Hill,54,Males,110
Bukit Merah,Alexandra Hill,54,Females,100
Bukit Merah,Alexandra Hill,55,Total,230
Bukit Merah,Alexandra Hill,55,Males,100
Bukit Merah,Alexandra Hill,55,Females,120
Bukit Merah,Alexandra Hill,56,Total,170
Bukit Merah,Alexandra Hill,56,Males,90
Bukit Merah,Alexandra Hill,56,Females,80
Bukit Merah,Alexandra Hill,57,Total,200
Bukit Merah,Alexandra Hill,57,Males,100
Bukit Merah,Alexandra Hill,57,Females,100
Bukit Merah,Alexandra Hill,58,Total,220
Bukit Merah,Alexandra Hill,58,Males,110
Bukit Merah,Alexandra Hill,58,Females,100
Bukit Merah,Alexandra Hill,59,Total,220
Bukit Merah,Alexandra Hill,59,Males,110
Bukit Merah,Alexandra Hill,59,Females,110
Bukit Merah,Alexandra Hill,60,Total,220
Bukit Merah,Alexandra Hill,60,Males,120
Bukit Merah,Alexandra Hill,60,Females,100
Bukit Merah,Alexandra Hill,61,Total,220
Bukit Merah,Alexandra Hill,61,Males,120
Bukit Merah,Alexandra Hill,61,Females,100
Bukit Merah,Alexandra Hill,62,Total,210
Bukit Merah,Alexandra Hill,62,Males,110
Bukit Merah,Alexandra Hill,62,Females,110
Bukit Merah,Alexandra Hill,63,Total,220
Bukit Merah,Alexandra Hill,63,Males,110
Bukit Merah,Alexandra Hill,63,Females,110
Bukit Merah,Alexandra Hill,64,Total,230
Bukit Merah,Alexandra Hill,64,Males,100
Bukit Merah,Alexandra Hill,64,Females,130
Bukit Merah,Alexandra Hill,65,Total,230
Bukit Merah,Alexandra Hill,65,Males,130
Bukit Merah,Alexandra Hill,65,Females,100
Bukit Merah,Alexandra Hill,66,Total,210
Bukit Merah,Alexandra Hill,66,Males,110
Bukit Merah,Alexandra Hill,66,Females,100
Bukit Merah,Alexandra Hill,67,Total,210
Bukit Merah,Alexandra Hill,67,Males,100
Bukit Merah,Alexandra Hill,67,Females,110
Bukit Merah,Alexandra Hill,68,Total,230
Bukit Merah,Alexandra Hill,68,Males,90
Bukit Merah,Alexandra Hill,68,Females,130
Bukit Merah,Alexandra Hill,69,Total,230
Bukit Merah,Alexandra Hill,69,Males,100
Bukit Merah,Alexandra Hill,69,Females,130
Bukit Merah,Alexandra Hill,70,Total,170
Bukit Merah,Alexandra Hill,70,Males,80
Bukit Merah,Alexandra Hill,70,Females,90
Bukit Merah,Alexandra Hill,71,Total,200
Bukit Merah,Alexandra Hill,71,Males,110
Bukit Merah,Alexandra Hill,71,Females,90
Bukit Merah,Alexandra Hill,72,Total,220
Bukit Merah,Alexandra Hill,72,Males,100
Bukit Merah,Alexandra Hill,72,Females,120
Bukit Merah,Alexandra Hill,73,Total,200
Bukit Merah,Alexandra Hill,73,Males,110
Bukit Merah,Alexandra Hill,73,Females,100
Bukit Merah,Alexandra Hill,74,Total,170
Bukit Merah,Alexandra Hill,74,Males,80
Bukit Merah,Alexandra Hill,74,Females,90
Bukit Merah,Alexandra Hill,75,Total,120
Bukit Merah,Alexandra Hill,75,Males,60
Bukit Merah,Alexandra Hill,75,Females,60
Bukit Merah,Alexandra Hill,76,Total,80
Bukit Merah,Alexandra Hill,76,Males,30
