Planning Area,Subzone,Age,Sex,Count
Total,Total,53,Total,"57,520"
Total,Total,53,Males,"28,420"
Total,Total,53,Females,"29,100"
Total,Total,54,Total,"57,310"
Total,Total,54,Males,"28,390"
Total,Total,54,Females,"28,920"
Total,Total,55,Total,"60,150"
Total,Total,55,Males,"29,930"
Total,Total,55,Females,"30,210"
Total,Total,56,Total,"59,350"
Total,Total,56,Males,"29,670"
Total,Total,56,Females,"29,690"
Total,Total,57,Total,"60,880"
Total,Total,57,Males,"30,440"
Total,Total,57,Females,"30,440"
Total,Total,58,Total,"59,500"
Total,Total,58,Males,"29,640"
Total,Total,58,Females,"29,860"
Total,Total,59,Total,"58,340"
Total,Total,59,Males,"29,150"
Total,Total,59,Females,"29,200"
Total,Total,60,Total,"58,270"
Total,Total,60,Males,"29,270"
Total,Total,60,Females,"29,010"
Total,Total,61,Total,"57,700"
Total,Total,61,Males,"28,840"
Total,Total,61,Females,"28,870"
Total,Total,62,Total,"57,010"
Total,Total,62,Males,"28,490"
Total,Total,62,Females,"28,520"
Total,Total,63,Total,"55,330"
Total,Total,63,Males,"27,440"
Total,Total,63,Females,"27,890"
Total,Total,64,Total,"54,300"
Total,Total,64,Males,"26,860"
Total,Total,64,Females,"27,440"
Total,Total,65,Total,"51,880"
Total,Total,65,Males,"25,530"
Total,Total,65,Females,"26,340"
Total,Total,66,Total,"49,380"
Total,Total,66,Males,"24,140"
Total,Total,66,Females,"25,240"
Total,Total,67,Total,"47,950"
Total,Total,67,Males,"23,820"
Total,Total,67,Females,"24,120"
Total,Total,68,Total,"44,430"
Total,Total,68,Males,"21,870"
Total,Total,68,Females,"22,560"
Total,Total,69,Total,"41,760"
Total,Total,69,Males,"20,230"
Total,Total,69,Females,"21,530"
Total,Total,70,Total,"38,930"
Total,Total,70,Males,"18,870"
Total,Total,70,Females,"20,060"
Total,Total,71,Total,"38,620"
Total,Total,71,Males,"18,540"
Total,Total,71,Females,"20,080"
Total,Total,72,Total,"36,640"
Total,Total,72,Males,"17,570"
Total,Total,72,Females,"19,060"
Total,Total,73,Total,"34,030"
Total,Total,73,Males,"15,940"
Total,Total,73,Females,"18,090"
Total,Total,74,Total,"33,110"
Total,Total,74,Males,"15,420"
Total,Total,74,Females,"17,690"
Total,Total,75,Total,"21,750"
Total,Total,75,Males,"10,040"
Total,Total,75,Females,"11,720"
Total,Total,76,Total,"16,550"
Total,Total,76,Males,"7,550"
Total,Total,76,Females,"9,000"
Total,Total,77,Total,"19,950"
Total,Total,77,Males,"9,040"
Total,Total,77,Females,"10,910"
Total,Total,78,Total,"16,580"
